Item,Supplier,Price,URL
2x Outrunner Motor,Amazon (BE),2x €14.72,https://www.amazon.com.be/professionele-borstelloze-upgrade-onderdelen-compatibel-quadcopter/dp/B08GFGYTWG/ref=sr_1_49_sspa?sr=8-49-spons&xpid=_nmKDxwXYAR5Z&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&psc=1
Turnigy LiPo Battery 3000mAh 3S 20C (XT60),HobbyKing,€15.88,https://hobbyking.com/en_us/turnigy-battery-3000mah-3s-20c-lipo-pack-xt-60.html?___store=en_us
2x ESC,Amazon (BE),2x €8.99,https://www.amazon.com.be/-/nl/gp/product/B0CK279BV1/ref=ox_sc_act_image_2?smid=A2D3HAWPO6HEDQ&psc=1
Wheel Tires,Aliexpress,"€11.89 
",https://nl.aliexpress.com/item/1005006259281273.html?spm=a2g0o.order_list.order_list_main.11.4aeb79d2LHthfM&gatewayAdapt=glo2nld
Receiver and Transmitter,Aliexpress,€18.29,https://nl.aliexpress.com/item/1005007146903164.html?spm=a2g0o.order_list.order_list_main.29.4aeb79d2LHthfM&gatewayAdapt=glo2nld
Shockabsorbers [70mm],Aliexpress,€13.39,https://nl.aliexpress.com/item/1005005791841993.html?spm=a2g0o.order_list.order_list_main.44.4aeb79d2LHthfM&gatewayAdapt=glo2nld
Half Breadboard,Aliexpress,€3.59,https://nl.aliexpress.com/item/1005003647931024.html?spm=a2g0o.productlist.main.2.59051bc1BYUHxB&algo_pvid=d8f8bdb9-17a4-4c7b-b1c8-a375aa429cb3&pdp_ext_f=%7B%22order%22%3A%222288%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003647931024%7C_p_origin_prod%3A
Bearings,Aliexpress,€4.32 ,https://nl.aliexpress.com/item/1005005511187974.html?spm=a2g0o.productlist.main.2.3c94x90ix90ivF&algo_pvid=f5bef0fc-a98b-4cfd-b33b-e8bd7f1f5b0a&pdp_ext_f=%7B%22order%22%3A%225037%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
XT60 Cable Splitter,Aliexpress,€3.16 ,https://nl.aliexpress.com/item/1005006856749915.html?spm=a2g0o.productlist.main.6.cb7fHK5PHK5Pzo&algo_pvid=fffb57f4-2b81-4c20-b420-38fd84690299&pdp_ext_f=%7B%22order%22%3A%22458%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006856749915%7C_p_origin_prod%3A
ESP32 NodeMCU (ESP-WROOM-32) Dev Board,Amazon (BE),€6.00 ,https://nl.aliexpress.com/item/1005008503831020.html?spm=a2g0o.productlist.main.1.50batvhBtvhBeu&algo_pvid=0a617cd8-f2b7-4803-858d-3541e3e94967&pdp_ext_f=%7B%22order%22%3A%223428%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008503831020%7C_p_origin_prod%3A#nav-review
Miuzei Servo 15kg 5V,Amazon (BE),€14.99,https://www.amazon.com.be/-/en/Digital-Gearbox-Airplane-Standard-Building/dp/B0C1TXW74L/ref=sr_1_5?sr=8-5
Hex Nylon Insert Nuts,Aliexpress,€9.99,https://nl.aliexpress.com/item/1005008473715278.html?spm=a2g0o.order_list.order_list_main.81.f38179d22wYPtR&gatewayAdapt=glo2nld
Total,,€138.93,
